#name zcmb zhel dz mb dmb x1 dx1 color dcolor 3rdvar d3rdvar tmax dtmax cov_m_s cov_m_c cov_s_c set ra dec biascor
03D1au 0.503084 0.504300 0 23.001698 0.088031 1.273191 0.150058 -0.012353 0.030011 9.517000 0.110500 52909.745220 0.214332 0.000790 0.000440 -0.000030 1 36.043210 -4.037469 0.001697
03D1aw 0.580724 0.582000 0 23.573937 0.090132 0.974346 0.273823 -0.025076 0.036691 9.169000 0.088000 52902.898002 0.352732 0.002823 0.000415 0.001574 1 36.061634 -4.517158 0.000843
03D1ax 0.494795 0.496000 0 22.960139 0.088110 -0.728837 0.102069 -0.099683 0.030305 11.580000 0.112500 52915.923670 0.111634 0.000542 0.000475 -0.000024 1 36.097287 -4.720774 0.001692
03D1bp 0.345928 0.347000 0 22.398137 0.087263 -1.155110 0.112834 -0.040581 0.026679 10.821000 0.123500 52920.249015 0.102828 0.001114 0.000616 0.000295 1 36.657235 -4.838779 -0.000270
03D1co 0.677662 0.679000 0 24.078115 0.098356 0.618820 0.404295 -0.039380 0.067403 8.647000 0.284000 52954.458342 0.454715 0.011857 0.000780 0.005898 1 36.567748 -4.935050 -0.002855
03D1dt 0.610712 0.612000 0 23.285241 0.092877 -1.161563 1.641345 -0.094943 0.049652 9.715000 0.092000 52962.253197 0.976562 0.029671 0.000947 0.044357 1 36.629968 -4.052341 0.000026
03D1ew 0.866494 0.868000 0 24.353678 0.106037 0.376409 0.348004 -0.063269 0.067817 8.530000 0.805000 52991.741625 0.665126 0.003181 -0.001601 0.004093 1 36.058795 -4.665852 -0.017996
03D1fc 0.330932 0.332000 0 21.861412 0.086437 0.650394 0.118542 -0.017577 0.023794 10.391000 0.036000 53002.763813 0.104433 0.001006 0.000527 0.000540 1 36.431648 -4.144059 -0.000526
03D1fq 0.798566 0.800000 0 24.510389 0.101777 -1.056666 0.406837 -0.055975 0.064955 10.651000 0.127000 52999.213046 0.655817 0.005897 -0.001115 0.003551 1 36.731935 -4.302217 -0.011577
03D3aw 0.449562 0.449000 0 22.667126 0.091912 0.810113 0.232169 -0.085962 0.038205 10.695000 0.034000 52767.328075 0.200656 0.005474 0.000792 0.000662 1 215.223049 52.605624 0.001400
03D3ay 0.371443 0.370900 0 22.273052 0.091326 0.569579 0.197845 -0.054463 0.033075 10.198000 0.067500 52767.625241 0.141892 0.004907 0.000899 0.000913 1 214.493580 52.482613 0.000189
03D3ba 0.291718 0.291200 0 21.961068 0.093479 0.760688 0.172975 0.116118 0.035364 10.211000 0.093500 52749.605469 0.804557 -0.002911 0.001326 -0.001142 1 214.139297 52.342190 -0.001074
03D3bl 0.355820 0.355300 0 22.926619 0.087008 0.055758 0.192657 0.204749 0.029878 10.831000 0.092500 52787.142342 0.288522 0.000395 0.000662 -0.000535 1 214.982501 53.097401 -0.000094
03D3cd 0.461274 0.460700 0 22.575127 0.095948 1.861682 0.565093 -0.043023 0.038208 9.339000 0.152000 52801.729007 0.226325 0.021901 0.001309 0.010876 1 214.666364 52.612079 0.001514
03D4ag 0.283610 0.285000 0 21.256943 0.086683 0.937399 0.104658 -0.085197 0.023476 10.628000 0.099000 52830.931258 0.095579 0.001009 0.000524 -0.000243 1 333.690959 -17.739655 -0.001153
03D4at 0.632234 0.634000 0 23.739180 0.093125 0.208542 0.330258 -0.050531 0.066776 8.751000 0.077500 52816.959534 0.560938 0.003702 0.000788 0.001452 1 333.600166 -17.776726 -0.000739
03D4au 0.466414 0.468000 0 23.789546 0.090350 0.376996 0.332539 0.122416 0.043376 9.464000 0.106500 52816.177200 0.504015 0.003236 0.000840 0.000892 1 334.041366 -18.077590 0.001557
03D4cj 0.268624 0.270000 0 21.058469 0.086242 1.150557 0.085414 -0.080120 0.023199 6.000000 5.000000 52889.694235 0.093377 0.000600 0.000542 -0.000044 1 334.027611 -17.704656 -0.001259
03D4cx 0.946890 0.949000 0 24.460375 0.115036 -0.095636 0.673245 0.056711 0.065385 11.008000 0.157000 52882.826564 1.127614 0.018281 -0.002054 0.001302 1 333.640640 -17.587511 -0.026152
03D4cy 0.924917 0.927000 0 24.705851 0.125384 0.863344 0.639964 -0.057529 0.071520 9.705000 0.235500 52900.101211 0.799756 0.028082 -0.002370 0.006754 1 333.418394 -17.681641 -0.023921
