# z mu
0.010 32.953886976
0.012 33.8790034661
0.014 33.8421407403
0.016 34.1185670426
0.019 34.5934459829
0.023 34.9390265264
0.026 35.2520963261
0.031 35.7485016537
0.037 36.0697876073
0.043 36.4345704737
0.051 36.6511105942
0.060 37.1580141133
0.070 37.4301732516
0.082 37.9566163488
0.097 38.2532540406
0.114 38.6128693372
0.134 39.0678507056
0.158 39.3414019038
0.186 39.7921436157
0.218 40.1565346033
0.257 40.5649560582
0.302 40.9052877824
0.355 41.4214174356
0.418 41.7909234574
0.491 42.2314610669
0.578 42.6170470706
0.679 43.0527314851
0.799 43.5041508283
0.940 43.9725734093
1.105 44.5140875789
1.300 44.8218674621
